연간 예산	annual budget
폭탄처리반	a bomb disposal squad
가는 모래	fine sand
가는 철사	thin wire
동틀녘	sunrise (not __이 or _출)
해돋이	sunrise (not _출 or __녘)
요금제	Tariff system
흥분시키다	excite, work sb up
귀가 먹다	be deaf (non-있다 form)
희생	sacrifice
희생되다	be sacrificed
산 조개	a live shellfish
정치 논리	the logic behind politics
못을 뽑다	pull out a nail
수확 철	harvest season
고급 천	fine quality of cloth
뺨을 맞다	get slapped in the face
가계 지출	household spending
약정	Contract (not 계약), stipulation
용감	bravery (not _기)
기타 줄	guitar strings
줄을 긋다	draw a line
세로줄	a vertical line
가로줄	a horizontal line
줄을 서다	line[queue; file] up
살림 비용	housekeeping expenses
소수 인종	ethnic minorities
국내 전쟁	a civil war
국내 무역	domestic[home] trade
보도부장	a news chief
공공 지출	public spending
연한 빛깔	light[pale] color
해질녘	sunset (not _몰 or __이)
해넘이	sunset (not __녁 or _몰)
봄철	springtime
혼이 나다	To get scolded
외출증	permission to go out
허겁지겁	in a hurry (not 급하게)
고3	3rd year of high school
보물	treasure
불평	complaint
매직기	hair straightener
졸업반	Final year in high school
증명사진	ID photo
제때	the right time, an appointed time
허기	hunger (not 배고픔)
끈기	Patience, perseverance
급식비	fee for school lunch
한참 동안	for a long time (not 오랫 동안)
특기	Skill, talent
덜렁 대다	To be careless
포즈	pose
파마	perm
개봉하다	To be released (movie)
제 2의	The second
생머리	straight hair
피서객	Summer tourists
철의 장막	the Iron Curtain
전원 출석	complete attendance
떠나가다	leave, depart, go off (to)
심한 기침	a serious cough
소수민족	minority
다민족국가	multinational[multiracial] nation[country]
민족 전쟁	an ethnic war
무력 충돌	an armed conflict
친한 친구	a close friend
니코틴중독	nicotine addiction
민간 방송	commercial broadcasting
민간 치료	a popular remedy
민간사업	a private enterprise
목을 치다	cut off sb's head
서툰 배우	a poor actor
만세불역의	everlastingness, eternity, perpetuity
큰소리치다	boast, brag, talk big
중독되다	be poisoned
정상 혈압	normal blood pressure
대기오염	air[atmospheric] pollution
물리 치료	physical therapy
전기 치료	electrotherapy
언어 치료	speech therapy
젖을 빨다	suckle
빠른 맥박	a rapid pulse
온실효과	greenhouse effect
산성비	acid rain
암 연구	cancer research
기상이변	climate change
해양오염	marine[ocean; sea] pollution
푸른 하늘	blue sky
분유	formula milk
정면충돌	a head-on collision
정치 이론	political theory
심리 이론	psychological theory
경제 이론	economic theory
젊은 세대	the young(er) generation
약품	medicines
동대문시장	Dongdaemun market
허용	permission
특급 열차	a limited express[train]
민족 유산	an ethnic heritage
문화유산	cultural heritage[traditions]
사각지대	blind spot
공업지대	industrial area
귀를 막다	stuff sb's ears
전후세대	post-war generation
주택 지대	a residential area
세련	polishing, refinement
평소처럼	as usual
눈동자	pupil of the eye
과대평가	overestimation
과소평가	underestimation
이전 세대	the previous generation
품질평가	assessment[evaluation] of (product) quality
수행평가	performance evaluation
적성평가	aptitude evaluation
뜻이 맞다	be like-minded
대충 알다	have a rough idea of
전액 지불	full payment
길을 막다	block the road
주한 미군	the U.S. Armed Forces in Korea
오랜 동료	an old colleague
오랜 가물	a long drought
오랜 친구	an old friend
비린내	fishy smell
비듬	dandruff
암내	underarm odour / smell of a female in heat
노린내	stink (n.)
월급쟁이	salaryman
일시불	lump sum payment, single payment, payment in a lump sum
스마트폰	smartphone
홈 버튼	home button
채식하다	be vegetarian
염 / 鹽	salt (hanja)
동기화	syncing
주의자	word indicating a person has a certain tendency
저지방식	low fat diet (shorter)
완벽주의자	perfectionist
범죄 예방	prevention of crime
저염식	low salt diet
비건	vegan
전원 버튼	power button
다운	download
전송	send (phone message, etc.)
액정	LCD
편식	only eating what you want
저지방	low fat
고단백식	high protein diet (shorter)
손에 익다	get accustomed to something
손을 씻다	to be through with something (bad); to quit doing something (bad)
옥수수 밭	corn field
대나무 밭	bamboo grove
손을 놓다	to stop working on something; to get one’s hands off something
손이 크다	to be very generous (usually with food that one cooks)
손을 떼다	to pull out of something
겁이 없다	be fearless
겁이 많다	be easily frightened
정보화시대	computer age / information age
동시대의	in the same age[period]
현대시대	present era, current times
산업화시대	industrial age
우주 시대	the space age
조선 시대	the Joseon Dynasty period
지방 법원	a district court
비상 출구	an emergency exit
사망 광고	an obituary
고고학	arch(a)eology
사망 원인	the cause of death
냉동고	freezer
보리차	barley tea
